MH582676,Limonium contortirameum,L. contortirameum (Mabille) Erben,,,
MH582675,Limonium confusum,L. confusum (Godr. & Gren.) Fourr.,,,
MH582732,Limonium compactum,L. compactum Erben & Brullo,,,
MH582674,Limonium circaei,L. circaei Pignatti,,,
MW289895,Limonium chersonesum,L. chersonesum Erben & Brullo,,,
MH582673,Limonium cephalonicum,L. cephalonicum R.Artelari,,,
MW289876,Limonium carthaginense,L. carthaginense (Rouy) C.E.Hubb. & Sandwith,,,
MH582713,Limonium carpetanicum,L. carpetanicum Erben,,,
MH582767,Limonium carpathum,L. carpathum (Rech.f.) Rech.f.,,,
KJ773631,Limonium carolinianum,L. carolinianum (Walter) Britton,,,
MH582727,Limonium capense,L. capense (L.Bolus) L.Bolus,,,
MH582672,Limonium cancellatum,L. cancellatum (Bertot.) Kuntze,,,
KJ608041,Limonium camposanum,L. camposanumM. Erben,,,
MH582766,Limonium calliopsium,L. calliopsium Alf.Mayer,,,
MH582739,Limonium californicum,L. californicum (Boiss.) A.Heller,,,
MH582765,Limonium caesium,L. caesium (Girard) Kuntze,,,
MH582748,Limonium brunneri,L. brunneri (Webb. ex Boiss.) Kuntze,,,
MH582731,Limonium brevipetiolatum,L. brevipetiolatum R.Artelari & Erben,,,
MH582752,Limonium braunii,L. braunii (Bolle) A.Chev.,,,
MH582802,Limonium brassicifolium,L. brassicifolium (Webb & Berthel.) Kuntze,,,
MH582736,Limonium brasiliense,L. brasiliense (Boiss.) Kuntze,,,
MH582812,Limonium bourgeaui,L. bourgeaui (Webb ex Webb) Kuntze,,,
MH582698,Limonium bonifaciense,L. bonifaciense Arrigoni & Diana,,,
MH582809,Limonium bonduellei,L. bonduellei (T.Lestib.) Kuntze,,,
MH582716,Limonium bollei,L. bollei (Webb ex Wangerin) Erben,,,
MH582671,Limonium bocconei,L. bocconei (Lojac.) Litard.,,,
MW289879,Limonium binervosum,L. binervosum (G.E.Sm.) C.E.Salmon,,,
KJ608050,Limonium biflorum,L. biflorum (Pignatti) Pignatti,,,
MH582801,Limonium benmageci,L. benmageci Marrero Rodr.,,,
MH582789,Limonium bellidifolium,L. bellidifolium (Gouan) Dumort.,,,
MH582808,Limonium beaumierianum,L. beaumierianum (Coss. exMaire)Maire,,,
MW289893,Limonium axillare,L. axillare (Forssk.) Kuntze,,,
MH582699,Limonium auriculae-ursifolium,L. auriculae-ursifolium (Pourr.) Druce,,,
JN187124,Limonium aureum,L. aureum (L.) Hill ex Kuntze,,,
MH582787,Limonium aucheri,L. aucheri (Girard) Greuter & Burdet,,,
MH582670,Limonium articulatum,L. articulatum (Loisel.) Kuntze,,,
MH582764,Limonium archaeothirae,L. archaeothirae Erben & Bruno,,,
MW289898,Limonium arboreum,L. arboreum (Willd.) Erben, A.Santos & Reyes-,,
MH582725,Limonium aragonense,L. aragonense (Debeaux ex Willk.) Pignatti,,,
MH582669,Limonium aphroditae,L. aphroditae R.Artelari & Georgiou,,,
MH582745,Limonium anatolicum,L. anatolicum Hedge,,,
MH582763,Limonium amopicum,L. amopicum Erben & Bruno,,,
MH582784,Limonium ammophilon,L. ammophilon (Papatsou & Phitos) Domina,,,
MH582715,Limonium algarvense,L. algarvense Erben,,,
MH582667,Limonium albomarginatum,L. albomarginatum Bruno,,,
MW289894,Limonium aegaeum,L. aegaeum Erben & Bruno,,,
